game_id,date,home_team,away_team,home_score,away_score,winner,venue
ANA202204070,"April  7, 2022",Los Angeles Angels,Houston Astros,1,3,Houston Astros,Angel Stadium of Anaheim
ARI202204070,"April  7, 2022",Arizona Diamondbacks,San Diego Padres,4,2,Arizona Diamondbacks,Chase Field
ATL202204070,"April  7, 2022",Atlanta Braves,Cincinnati Reds,3,6,Cincinnati Reds,Truist Park
CHN202204070,"April  7, 2022",Chicago Cubs,Milwaukee Brewers,5,4,Chicago Cubs,Wrigley Field
KCA202204070,"April  7, 2022",Kansas City Royals,Cleveland Guardians,3,1,Kansas City Royals,Kauffman Stadium
SLN202204070,"April  7, 2022",St. Louis Cardinals,Pittsburgh Pirates,9,0,St. Louis Cardinals,Busch Stadium III
WAS202204070,"April  7, 2022",Washington Nationals,New York Mets,1,5,New York Mets,Nationals Park
ANA202204080,"April  8, 2022",Los Angeles Angels,Houston Astros,6,13,Houston Astros,Angel Stadium of Anaheim
ARI202204080,"April  8, 2022",Arizona Diamondbacks,San Diego Padres,0,3,San Diego Padres,Chase Field
ATL202204080,"April  8, 2022",Atlanta Braves,Cincinnati Reds,7,6,Atlanta Braves,Truist Park
COL202204080,"April  8, 2022",Colorado Rockies,Los Angeles Dodgers,3,5,Los Angeles Dodgers,Coors Field
DET202204080,"April  8, 2022",Detroit Tigers,Chicago White Sox,5,4,Detroit Tigers,Comerica Park
MIN202204080,"April  8, 2022",Minnesota Twins,Seattle Mariners,1,2,Seattle Mariners,Target Field
NYA202204080,"April  8, 2022",New York Yankees,Boston Red Sox,6,5,New York Yankees,Yankee Stadium III
PHI202204080,"April  8, 2022",Philadelphia Phillies,Oakland Athletics,9,5,Philadelphia Phillies,Citizens Bank Park
SFN202204080,"April  8, 2022",San Francisco Giants,Miami Marlins,6,5,San Francisco Giants,Oracle Park
TBA202204080,"April  8, 2022",Tampa Bay Rays,Baltimore Orioles,2,1,Tampa Bay Rays,Tropicana Field
TOR202204080,"April  8, 2022",Toronto Blue Jays,Texas Rangers,10,8,Toronto Blue Jays,Rogers Centre
WAS202204080,"April  8, 2022",Washington Nationals,New York Mets,3,7,New York Mets,Nationals Park
ANA202204090,"April  9, 2022",Los Angeles Angels,Houston Astros,2,0,Los Angeles Angels,Angel Stadium of Anaheim
ARI202204090,"April  9, 2022",Arizona Diamondbacks,San Diego Padres,2,5,San Diego Padres,Chase Field
ATL202204090,"April  9, 2022",Atlanta Braves,Cincinnati Reds,2,1,Atlanta Braves,Truist Park
CHN202204090,"April  9, 2022",Chicago Cubs,Milwaukee Brewers,9,0,Chicago Cubs,Wrigley Field
COL202204090,"April  9, 2022",Colorado Rockies,Los Angeles Dodgers,3,2,Colorado Rockies,Coors Field
DET202204090,"April  9, 2022",Detroit Tigers,Chicago White Sox,2,5,Chicago White Sox,Comerica Park
KCA202204090,"April  9, 2022",Kansas City Royals,Cleveland Guardians,1,0,Kansas City Royals,Kauffman Stadium
MIN202204090,"April  9, 2022",Minnesota Twins,Seattle Mariners,3,4,Seattle Mariners,Target Field
